Date,Open,High,Low,Close,Adj Close,Volume
2023-02-27,431.559998,433.579987,428.059998,428.989990,428.319519,330200
2023-02-28,427.170013,431.160004,426.890015,430.200012,429.527649,584400
2023-03-01,428.839996,431.929993,420.059998,421.200012,420.541718,539200
2023-03-02,420.000000,427.529999,419.119995,426.649994,425.983185,389300
2023-03-03,426.279999,431.230011,425.320007,430.109985,429.437775,433600
2023-03-06,430.480011,433.799988,428.769989,428.940002,428.269623,315500
2023-03-07,429.519989,432.200012,421.609985,422.179993,421.520172,376100
2023-03-08,422.500000,425.970001,422.160004,424.500000,423.836548,409500
2023-03-09,427.839996,433.140015,422.459991,422.799988,422.139191,486700
2023-03-10,422.570007,425.170013,417.500000,420.329987,419.673065,847900
2023-03-13,420.609985,426.500000,418.179993,421.480011,420.821289,771900
2023-03-14,426.299988,429.920013,423.100006,428.070007,427.400970,648500
2023-03-15,423.709991,426.480011,416.779999,420.929993,420.272125,787500
2023-03-16,419.100006,430.609985,417.339996,428.420013,427.750427,903700
2023-03-17,432.059998,432.260010,424.709991,425.660004,424.994751,1642200
2023-03-20,427.450012,438.019989,427.450012,432.179993,431.504547,561900
2023-03-21,433.700012,436.010010,422.540009,430.440002,429.767273,948200
2023-03-22,431.950012,435.829987,428.049988,428.579987,427.910156,854100
2023-03-23,428.739990,432.589996,424.450012,425.049988,424.385681,852600
2023-03-24,425.160004,430.700012,423.959991,429.589996,428.918579,673300
2023-03-27,433.100006,433.140015,429.559998,430.260010,429.587555,393700
2023-03-28,429.500000,434.109985,428.839996,432.000000,431.324829,409800
2023-03-29,434.299988,435.579987,432.350006,434.339996,433.661163,809900
2023-03-30,436.000000,438.989990,435.170013,437.000000,436.317017,436900
2023-03-31,439.010010,440.690002,436.350006,440.690002,440.001251,957000
2023-04-03,440.239990,443.589996,438.799988,440.790009,440.101105,609700
2023-04-04,441.950012,444.579987,436.829987,437.010010,436.326996,590900
2023-04-05,437.410004,437.739990,433.980011,437.399994,437.399994,450100
2023-04-06,438.299988,438.299988,433.250000,435.700012,435.700012,363500
2023-04-10,433.859985,436.350006,431.100006,436.239990,436.239990,359100
2023-04-11,436.500000,439.510010,435.779999,438.709991,438.709991,410900
2023-04-12,440.250000,445.570007,440.250000,442.480011,442.480011,659800
2023-04-13,442.739990,444.440002,437.070007,442.510010,442.510010,729500
2023-04-14,441.959991,445.179993,438.070007,439.910004,439.910004,456700
2023-04-17,440.190002,443.269989,439.070007,442.920013,442.920013,410400
2023-04-18,443.989990,445.630005,440.369995,441.720001,441.720001,327900
2023-04-19,441.690002,444.429993,439.869995,443.059998,443.059998,374100
2023-04-20,443.609985,446.089996,440.910004,443.190002,443.190002,484100
2023-04-21,445.619995,448.359985,443.209991,445.410004,445.410004,506600
2023-04-24,447.059998,448.299988,445.470001,447.760010,447.760010,469700
2023-04-25,446.890015,447.209991,437.299988,437.359985,437.359985,530700
2023-04-26,435.989990,437.489990,430.029999,431.049988,431.049988,646900
2023-04-27,435.489990,454.140015,435.489990,452.980011,452.980011,823500
2023-04-28,452.000000,457.089996,451.609985,454.779999,454.779999,560600
2023-05-01,455.500000,462.480011,453.959991,458.630005,458.630005,446000
2023-05-02,459.609985,463.700012,456.899994,460.720001,460.720001,687700
2023-05-03,462.190002,463.130005,456.179993,456.420013,456.420013,406700
2023-05-04,457.350006,458.250000,451.679993,453.480011,453.480011,376100
2023-05-05,455.910004,460.829987,455.440002,458.119995,458.119995,329700
2023-05-08,456.170013,460.329987,456.170013,458.250000,458.250000,341900
2023-05-09,458.390015,460.510010,457.040009,457.549988,457.549988,261900
2023-05-10,460.779999,461.559998,454.980011,459.299988,459.299988,449700
2023-05-11,459.380005,459.380005,455.470001,458.459991,458.459991,344800
2023-05-12,458.640015,462.549988,458.269989,461.709991,461.709991,403700
2023-05-15,462.320007,463.899994,459.549988,461.880005,461.880005,338700
2023-05-16,459.250000,461.899994,458.260010,459.829987,459.829987,307400
2023-05-17,461.790009,461.790009,453.929993,454.429993,454.429993,626900
2023-05-18,453.540009,459.459991,452.390015,458.510010,458.510010,360100
2023-05-19,459.850006,461.000000,455.510010,457.720001,457.720001,340600
2023-05-22,457.079987,459.480011,454.850006,457.279999,457.279999,333600
2023-05-23,454.649994,456.450012,448.869995,449.980011,449.980011,435800
2023-05-24,448.380005,448.720001,441.390015,441.890015,441.890015,641600
2023-05-25,444.489990,451.350006,441.059998,449.440002,449.440002,526800
2023-05-26,451.619995,455.320007,445.540009,449.959991,449.959991,524100
2023-05-30,450.640015,455.799988,449.299988,451.730011,451.730011,619700
2023-05-31,448.130005,456.679993,448.130005,454.220001,454.220001,2362400
2023-06-01,450.149994,454.170013,446.859985,452.799988,452.799988,604500
2023-06-02,455.040009,461.250000,454.059998,458.859985,458.859985,507400
2023-06-05,458.220001,458.500000,452.350006,454.890015,454.890015,366300
2023-06-06,456.260010,457.750000,451.339996,453.970001,453.970001,370700
2023-06-07,451.519989,453.670013,447.950012,450.570007,450.570007,594800
2023-06-08,449.950012,452.809998,448.850006,452.220001,452.220001,357300
